Name,Name (BBG),Description,Maturity Date,ISIN,GIM2 Symbol,Ticker,YTW,OAD,OASD,OAS,Fitch,Moody's,S&P,Exposure Country,Exposure Currency,BarCap - Class 1 Desc,Country_Sector,BarCap - Class 3 Desc,BarCap - Class 4 Desc,JPM CEMBI Sector,Market Sector,KRD 0.5yr,KRD 02yr,KRD 05yr,KRD 10yr,KRD 20yr,KRD 30yr,Orig Face,Total MV,MV%,Bid (BBG),Ask (BBG),Min Piece (BBG),Amt Outstanding (BBG),Issue Date (BBG),Tkt Tot Amount (BBG)
        ARGENTINA (REPUBLIC OF)  6.62500  06 Jul 2028,ARGENTINA (REPUBLIC OF)  6.62500  06 Jul 2028,ARGENTINA (REPUBLIC OF)  6.62500  06 Jul 2028,07/06/2028,US040114HF05,,ARGENT,5.95%,7.60,7.79,360.90,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.20,0.67,6.42,0.48,0.00,"519,114.00","554,761.95",0.04%,105.279,105.775,150000,988413000,4/12/2017,1078446.67
        YPF SA  8.87500  19 Dec 2018,YPF SA  8.87500  19 Dec 2018,YPF SA  8.87500  19 Dec 2018,12/19/2018,USP989MJAU54,,YPFDAR,2.98%,1.13,1.15,157.71,B,B3,NR,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.61,0.53,0.00,0.00,0.00,0.00,"452,491.00","495,536.21",0.04%,106.827,107.041,1000,861560000,12/19/2013,1092857.64
        ARGENTINA (REPUBLIC OF)  7.12500  06 Jul 2036,ARGENTINA (REPUBLIC OF)  7.12500  06 Jul 2036,ARGENTINA (REPUBLIC OF)  7.12500  06 Jul 2036,07/06/2036,US040114HG87,,ARGENT,6.65%,10.31,10.51,400.08,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.21,0.70,2.73,6.96,0.00,"898,475.00","959,120.78",0.08%,105.018,105.573,150000,1710730000,4/12/2017,1080410
        YPF SA  8.7500  04 Apr 2024,YPF SA  8.7500  04 Apr 2024,YPF SA  8.7500  04 Apr 2024,04/04/2024,USP989MJAY76,,YPFDAR,5.85%,4.46,4.44,378.14,B,B3,NR,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.04,0.43,3.33,0.63,0.00,0.00,"695,890.00","824,195.81",0.07%,114.79,115.113,1000,1325000000,4/4/2014,1155444.44
        YPF SA  8.500  28 Jul 2025,YPF SA  8.500  28 Jul 2025,YPF SA  8.500  28 Jul 2025,07/28/2025,USP989MJBE04,,YPFDAR,6.02%,5.77,5.92,380.72,B,B3,NR,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.04,0.26,2.78,2.84,0.00,0.00,"787,800.00","920,124.44",0.07%,115.156,115.548,1000,1500000000,4/28/2015,1184972.22
        ARGENTINA (REPUBLIC OF)  7.12500  28 Jun 2117,ARGENTINA (REPUBLIC OF)  7.12500  28 Jun 2117,ARGENTINA (REPUBLIC OF)  7.12500  28 Jun 2117,06/28/2117,USP04808AN44,,ARGENT,7.12%,13.77,13.51,424.32,NR,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.22,0.72,1.93,2.74,8.19,"1,444,299.00","1,471,541.93",0.12%,100.145,100.375,1000,2750000000,6/28/2017,1033733.33
        ARGENTINA BONOS  8.7500  07 May 2024,ARGENTINA BONOS  8.7500  07 May 2024,ARGENTINA BONOS  8.7500  07 May 2024,05/07/2024,ARARGE03H413,,ARGBON,5.22%,4.11,3.45,322.93,NR,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.10,0.91,2.09,0.33,0.00,0.00,"9,429,841.00","11,240,705.84",0.90%,119.119,119.584,1,17954771629,5/7/2014,1198790
        YPF SA  8.500  23 Mar 2021,YPF SA  8.500  23 Mar 2021,YPF SA  8.500  23 Mar 2021,03/23/2021,USP989MJBG51,,YPFDAR,4.60%,3.03,3.09,289.71,B,B3,NR,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.05,1.62,1.41,0.00,0.00,0.00,"525,200.00","591,438.78",0.05%,112.3,112.643,1000,1000000000,3/23/2016,1134486.11
        YPF SA  6.9500  21 Jul 2027,YPF SA  6.9500  21 Jul 2027,YPF SA  6.9500  21 Jul 2027,07/21/2027,USP989MJBL47,,YPFDAR,6.10%,7.05,7.23,379.73,B,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.04,0.21,0.94,6.04,0.00,0.00,"393,900.00","423,670.74",0.03%,106.142,106.557,10000,750000000,7/21/2017,1085637.5
        ARGENTINA (REPUBLIC OF)  8.2800  31 Dec 2033,ARGENTINA (REPUBLIC OF)  8.2800  31 Dec 2033,ARGENTINA (REPUBLIC OF)  8.2800  31 Dec 2033,12/31/2033,XS0501194756,,ARGENT,6.62%,7.40,7.58,424.18,NR,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.24,1.34,4.60,1.38,0.00,"680,563.00","783,757.20",0.06%,113.083,113.749,1,1295818503,6/2/2010,1636753.18
        ARGENTINA (REP OF)  8.2800  31 Dec 2033,ARGENTINA (REP OF)  8.2800  31 Dec 2033,ARGENTINA (REP OF)  8.2800  31 Dec 2033,12/31/2033,ARARGE03E113,,ARGENT,6.28%,7.47,7.65,390.37,NR,NR,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.24,1.33,4.66,1.41,0.00,"775,977.00","916,390.23",0.07%,115.641,116.438,1,4901085505,11/29/2005,1673444.51
        PETROBRAS ENERGIA SA  7.37500  21 Jul 2023,PETROBRAS ENERGIA SA  7.37500  21 Jul 2023,PETROBRAS ENERGIA SA  7.37500  21 Jul 2023,07/21/2023,USP7873PAE62,,PAMPAR,5.02%,2.50,3.50,341.92,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.04,1.08,2.28,0.13,0.00,0.00,"262,600.00","290,866.07",0.02%,108.643,109.166,1000,500000000,7/21/2016,1118093.75
        ARGENTINA (REPUBLIC OF)  5.62500  26 Jan 2022,ARGENTINA (REPUBLIC OF)  5.62500  26 Jan 2022,ARGENTINA (REPUBLIC OF)  5.62500  26 Jan 2022,01/26/2022,US040114HK99,,ARGENT,4.37%,3.78,3.86,251.52,NR,B3,B,ARGENTINA,USD,GOVERNMENT_RELATED,ARGENTINA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.97,2.84,0.00,0.00,0.00,"1,704,591.00","1,805,808.15",0.15%,104.837,105.273,1000,3245605000,4/12/2017,1067625
        REPUBLIC OF ARMENIA  7.1500  26 Mar 2025,REPUBLIC OF ARMENIA  7.1500  26 Mar 2025,REPUBLIC OF ARMENIA  7.1500  26 Mar 2025,03/26/2025,XS1207654853,,ARMEN,5.19%,5.86,6.00,298.63,B+,B1,NR,ARMENIA,USD,GOVERNMENT_RELATED,ARMENIA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.21,3.13,2.62,0.00,0.00,"1,295,486.00","1,453,430.99",0.12%,111.936,112.785,200000,500000000,3/26/2015,1128357.78
        REPUBLIC OF ARMENIA  6.00  30 Sep 2020,REPUBLIC OF ARMENIA  6.00  30 Sep 2020,REPUBLIC OF ARMENIA  6.00  30 Sep 2020,09/30/2020,XS0974642273,,ARMEN,3.93%,2.74,2.79,230.71,B+,B1,NR,ARMENIA,USD,GOVERNMENT_RELATED,ARMENIA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,1.86,0.88,0.00,0.00,0.00,"1,295,672.00","1,371,262.04",0.11%,105.638,106.463,200000,500072000,9/30/2013,1063640
        REPUBLIC OF AZERBAIJAN  4.7500  18 Mar 2024,REPUBLIC OF AZERBAIJAN  4.7500  18 Mar 2024,REPUBLIC OF AZERBAIJAN  4.7500  18 Mar 2024,03/18/2024,XS1044540547,,AZERBJ,4.26%,5.52,5.63,212.50,BB+,BA2,NR,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.02,0.13,3.94,1.53,0.00,0.00,"3,238,714.00","3,334,448.37",0.27%,102.668,103.335,200000,1250000000,3/18/2014,1037036.67
        INTERNATIONAL BANK OF AZERB  3.500  01 Sep 2024,INTERNATIONAL BANK OF AZERB  3.500  01 Sep 2024,INTERNATIONAL BANK OF AZERB  3.500  01 Sep 2024,09/01/2024,XS1678463784,,IBAZAZ,6.47%,5.90,6.09,430.15,NR,NR,NR,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.01,0.09,3.74,2.24,0.00,0.00,"2,590,971.00","2,175,383.28",0.17%,100,100,1000,1000000000,9/1/2017,861126.11
        INTERNATIONAL BANK OF AZERB  5.62500  11 Jun 2019,INTERNATIONAL BANK OF AZERB  5.62500  11 Jun 2019,INTERNATIONAL BANK OF AZERB  5.62500  11 Jun 2019,06/11/2019,XS1076436218,,IBAZAZ,19.21%,1.46,1.59,"1,774.59",NR,NR,NR,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.35,1.24,0.00,0.00,0.00,0.00,"1,295,486.00","1,073,633.43",0.09%,81.852,82.107,200000,500000000,6/11/2014,825000
        STATE OIL CO OF THE AZERBAI  6.9500  18 Mar 2030,STATE OIL CO OF THE AZERBAI  6.9500  18 Mar 2030,STATE OIL CO OF THE AZERBAI  6.9500  18 Mar 2030,03/18/2030,XS1196496688,,SOIAZ,5.92%,8.44,8.64,350.66,BB+,NR,BB,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.03,0.20,0.70,6.06,1.68,0.00,"1,943,228.00","2,123,686.95",0.17%,108.668,109.502,200000,750000000,3/18/2015,1104733.33
        SOUTHERN GAS CORRIDOR CJSC  6.87500  24 Mar 2026,SOUTHERN GAS CORRIDOR CJSC  6.87500  24 Mar 2026,SOUTHERN GAS CORRIDOR CJSC  6.87500  24 Mar 2026,03/24/2026,XS1319820897,,SGCAZE,5.04%,6.51,6.66,279.11,BB+,BA2,NR,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.03,0.20,2.34,4.09,0.00,0.00,"5,181,942.00","5,841,702.61",0.47%,112.708,113.279,200000,2000000000,3/24/2016,1139437.5
        REPUBLIC OF AZERBAIJAN  3.500  01 Sep 2032,REPUBLIC OF AZERBAIJAN  3.500  01 Sep 2032,REPUBLIC OF AZERBAIJAN  3.500  01 Sep 2032,09/01/2032,XS1678623734,,AZERBJ,4.79%,10.59,10.79,232.39,BB+,BA2,NR,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.01,0.08,0.26,6.51,3.98,0.00,"2,789,383.00","2,435,050.52",0.20%,86.793,87.627,150000,1076578000,9/1/2017,881476.11
        STATE OIL CO OF THE AZERBAI  4.7500  13 Mar 2023,STATE OIL CO OF THE AZERBAI  4.7500  13 Mar 2023,STATE OIL CO OF THE AZERBAI  4.7500  13 Mar 2023,03/13/2023,XS0903465127,,SOIAZ,4.66%,4.74,4.84,263.43,BB+,BA2,BB,AZERBAIJAN,USD,GOVERNMENT_RELATED,AZERBAIJAN_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.02,0.14,4.27,0.40,0.00,0.00,"2,590,971.00","2,609,261.76",0.21%,99.877,100.627,200000,1000000000,3/13/2013,1005826.39
        REPUBLIC OF BELARUS  6.87500  28 Feb 2023,REPUBLIC OF BELARUS  6.87500  28 Feb 2023,REPUBLIC OF BELARUS  6.87500  28 Feb 2023,02/28/2023,XS1634369067,,BELRUS,5.23%,4.49,4.61,321.16,B-,CAA1,B-,BELARUS,USD,GOVERNMENT_RELATED,BELARUS_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.22,4.01,0.33,0.00,0.00,"2,072,777.00","2,245,324.14",0.18%,107.542,108.292,200000,800000000,6/29/2017,1092402.78
        REPUBLIC OF BELARUS  7.62500  29 Jun 2027,REPUBLIC OF BELARUS  7.62500  29 Jun 2027,REPUBLIC OF BELARUS  7.62500  29 Jun 2027,06/29/2027,XS1634369224,,BELRUS,6.02%,6.88,7.06,372.12,B-,CAA1,B-,BELARUS,USD,GOVERNMENT_RELATED,BELARUS_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.22,1.05,5.74,0.00,0.00,"1,554,583.00","1,766,704.91",0.14%,111.542,112.292,200000,600000000,6/29/2017,1145045.97
        BELIZE GOVERNMENT OF  4.93800  20 Feb 2034,BELIZE GOVERNMENT OF  4.93800  20 Feb 2034,BELIZE GOVERNMENT OF  4.93800  20 Feb 2034,02/20/2034,USP16394AG62,,BELIZE,10.08%,8.63,9.02,758.87,NR,B3,B-,BELIZE,USD,GOVERNMENT_RELATED,BELIZE_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.04,0.24,0.69,4.94,3.15,0.00,"1,364,151.00","847,479.11",0.07%,62.125,62.875,100,526502100,3/20/2013,636981.94
        BOLIVIAN GOVERNMENT  4.500  20 Mar 2028,BOLIVIAN GOVERNMENT  4.500  20 Mar 2028,BOLIVIAN GOVERNMENT  4.500  20 Mar 2028,03/20/2028,USP37878AC26,,BOLIVI,4.88%,7.57,7.73,258.74,NR,BA3,BB,BOLIVIA,USD,GOVERNMENT_RELATED,BOLIVIA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.02,0.12,1.31,6.18,0.11,0.00,"2,590,971.00","2,521,804.87",0.20%,96.94,97.935,200000,1000000000,3/20/2017,981880
        BOLIVIAN GOVERNMENT  5.9500  22 Aug 2023,BOLIVIAN GOVERNMENT  5.9500  22 Aug 2023,BOLIVIAN GOVERNMENT  5.9500  22 Aug 2023,08/22/2023,USP37878AB43,,BOLIVI,3.74%,4.98,5.07,166.41,BB-,BA3,BB,BOLIVIA,USD,GOVERNMENT_RELATED,BOLIVIA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.03,0.17,4.04,0.82,0.00,0.00,"1,295,486.00","1,453,996.03",0.12%,111.415,112.285,200000,500000000,8/22/2013,1130923.89
        BOLIVIAN GOVERNMENT  4.87500  29 Oct 2022,BOLIVIAN GOVERNMENT  4.87500  29 Oct 2022,BOLIVIAN GOVERNMENT  4.87500  29 Oct 2022,10/29/2022,USP37878AA69,,BOLIVI,3.64%,4.40,4.48,166.55,NR,BA3,BB,BOLIVIA,USD,GOVERNMENT_RELATED,BOLIVIA_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.02,0.14,4.25,0.07,0.00,0.00,"1,295,486.00","1,395,955.94",0.11%,105.475,106.35,200000,500000000,10/29/2012,1085562.92
        BRAZIL (FED REP OF)-GLOBAL  4.87500  22 Jan 2021,BRAZIL (FED REP OF)-GLOBAL  4.87500  22 Jan 2021,BRAZIL (FED REP OF)-GLOBAL  4.87500  22 Jan 2021,01/22/2021,US105756BS83,,BRAZIL,2.71%,3.03,3.07,103.21,BB,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.02,1.74,1.29,0.00,0.00,0.00,"1,116,773.00","1,203,417.86",0.10%,106.84,107.01,100000,2713192000,4/22/2010,1081733.33
        PETROBRAS GLOBAL FINANCE BV  7.2500  17 Mar 2044,PETROBRAS GLOBAL FINANCE BV  7.2500  17 Mar 2044,PETROBRAS GLOBAL FINANCE BV  7.2500  17 Mar 2044,03/17/2044,US71647NAK54,,PETBRA,6.89%,11.95,12.04,405.32,BB,B1,BB-,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.03,0.21,0.71,1.94,4.83,4.55,"783,907.00","820,798.71",0.07%,104.443,104.841,2000,2000000000,3/17/2014,1047554.72
        BANCO NAC DE DESEN ECONO  5.7500  26 Sep 2023,BANCO NAC DE DESEN ECONO  5.7500  26 Sep 2023,BANCO NAC DE DESEN ECONO  5.7500  26 Sep 2023,09/26/2023,USP14486AJ63,,BNDES,4.17%,5.07,5.17,207.83,BB,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.02,0.17,4.04,0.93,0.00,0.00,"428,824.00","464,852.96",0.04%,108.38,108.38,200000,1094069000,9/26/2013,1090355.56
        BRAZIL (FED REP OF)-GLOBAL  5.62500  07 Jan 2041,BRAZIL (FED REP OF)-GLOBAL  5.62500  07 Jan 2041,BRAZIL (FED REP OF)-GLOBAL  5.62500  07 Jan 2041,01/07/2041,US105756BR01,,BRAZIL,5.56%,12.76,12.87,278.98,BB,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.02,0.15,0.52,1.51,7.87,3.05,"973,734.00","994,530.82",0.08%,100.88,101.245,100000,2484311000,10/7/2009,1022293.75
        BRAZIL (FED REP OF)  2.62500  05 Jan 2023,BRAZIL (FED REP OF)  2.62500  05 Jan 2023,BRAZIL (FED REP OF)  2.62500  05 Jan 2023,01/05/2023,US105756BU30,,BRAZIL,3.50%,4.82,4.90,150.68,BB,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Sovereign,SOVEREIGN,SOVEREIGN,,Sovereign,0.00,0.04,4.60,0.25,0.00,0.00,"842,700.00","812,772.19",0.07%,95.93,96.055,200000,2150000000,9/12/2012,967272.92
        PETROBRAS GLOBAL FINANCE BV  6.2500  17 Mar 2024,PETROBRAS GLOBAL FINANCE BV  6.2500  17 Mar 2024,PETROBRAS GLOBAL FINANCE BV  6.2500  17 Mar 2024,03/17/2024,US71647NAM11,,PETBRA,4.94%,5.31,5.43,281.11,BB,B1,BB-,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,OIL & GAS,Foreign Agency,0.03,0.19,3.78,1.43,0.00,0.00,"979,883.00","1,052,647.61",0.08%,106.911,107.365,2000,2500000000,3/17/2014,1074090.28
        BANCO NAC DE DESEN ECONO  4.00  14 Apr 2019,BANCO NAC DE DESEN ECONO  4.00  14 Apr 2019,BANCO NAC DE DESEN ECONO  4.00  14 Apr 2019,04/14/2019,USP14486AK37,,BNDES,2.67%,1.45,1.47,121.67,NR,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.46,1.00,0.00,0.00,0.00,0.00,"252,331.00","262,067.87",0.02%,100,100,200000,643778000,4/14/2014,1039577.78
        BANCO NAC DE DESEN ECONO  6.500  10 Jun 2019,BANCO NAC DE DESEN ECONO  6.500  10 Jun 2019,BANCO NAC DE DESEN ECONO  6.500  10 Jun 2019,06/10/2019,USP14486AC11,,BNDES,2.59%,1.58,1.60,111.95,BB,BA2,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,,Foreign Agency,0.35,1.23,0.00,0.00,0.00,0.00,"315,603.00","342,268.89",0.03%,100,100,100000,805205000,6/10/2009,1086027.78
        CENTRAIS ELET BRASILEIRAS  5.7500  27 Oct 2021,CENTRAIS ELET BRASILEIRAS  5.7500  27 Oct 2021,CENTRAIS ELET BRASILEIRAS  5.7500  27 Oct 2021,10/27/2021,USP22854AG14,,ELEBRA,4.26%,3.54,3.61,244.85,BB-,BA3,BB,BRAZIL,USD,GOVERNMENT_RELATED,BRAZIL_Foreign Agency,OWNED_NO_GUARANTEE,OWNED_NO_GUARANTEE,UTILITIES,Foreign Agency,0.03,1.20,2.37,0.00,0.00,0.00,"685,918.00","740,796.62",0.06%,105.519,105.905,200000,1750000000,10/27/2011,1088854.17
